company,date,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted
360 ONE WAM LTD,2025-07-17T16:31:52.283,980.04,284.67,,7.16,6.95
ACC Ltd,2025-07-24T13:25:22.207,6035.11,375.42,,19.99,19.94
ACME Solar Holdings Ltd,2025-07-25T20:36:46.897,,,,,
APL Apollo Tubes Ltd,2025-07-24T14:58:32.223,5169.77,237.17,,8.55,8.54
AWL Agri Business Ltd,2025-07-15T14:24:00.05,17058.65,237.95,,1.84,1.84
Aadhar Housing Finance Ltd,2025-07-25T16:25:16.603,84818,23728,,5.50,5.37
Aarti Industries Ltd,2025-07-31T17:55:11.04,1676,43,,1.19,1.19
Adani Energy Solutions Ltd,2025-07-24T15:20:40.393,6819.28,538.94,1856.76,4.27,4.27
Adani Enterprises Ltd,2025-07-31T14:45:15.29,4971.59,976.48,,6.02,6.02
Adani Green Energy Ltd,2025-07-28T14:46:35.247,3312,824,3108,4.26,4.26
Adani Total Gas Ltd,2025-07-28T17:38:39.463,1498.32,165.24,,1.50,1.50
