time,entry_price,stop_loss,take_profit,outcome_6,initiation_date,ticker,return
07-07-2023 04:00,956.450012,938.45,1020,SL,03-07-2023,ADANIGREEN,-0.019180576
25-02-2022 08:00,695.150024,651.95,737.65,SL,21-02-2022,ADANIPORTS,-0.066262787
27-01-2022 04:00,106.199996,98,137.7,TP,24-01-2022,ADANIPOWER,0.296610218
30-10-2023 00:00,3660.699951,3771,3768,SLTP,09-10-2023,DMART,0.029311348
10-07-2025 08:00,4169,4236.7,4495.5,SL,23-06-2025,DMART,0.015979418
05-07-2022 00:00,3686,3601.1,3919,SLTP,27-06-2022,BAJAJ-AUTO,0.063212154
21-07-2025 00:00,121.43,119.43,123.12,SLTP,14-07-2025,BAJAJHFL,0.013917483
22-12-2020 00:00,365.600006,357,430,TP,21-12-2020,BPCL,0.176148777
12-07-2022 00:00,313.399993,304.16,341.5,TP,11-07-2022,BPCL,0.089661798
16-09-2024 04:00,342,343.5,367.2,SL,26-08-2024,BPCL,0.004366812
09-10-2023 04:00,19205.05078,19051.3,20136,SLTP,09-10-2023,BOSCHLTD,0.048474187
02-02-2024 04:00,450.200012,414.3,472,TP,23-01-2024,CGPOWER,0.048422895
19-02-2025 04:00,85.5,90.3,95.3,SL,09-11-2020,CANBK,0.053156146
19-01-2022 00:00,895.299987,860,977.35,TP,17-01-2022,CIPLA,0.091645274
14-08-2024 00:00,817.599975,809.2,874,TP,12-08-2024,DLF,0.06898242
16-04-2025 08:00,481.350006,462.95,504.9,TP,27-07-2020,DABUR,0.048924886
08-09-2021 04:00,145.399993,144,159.75,SL,06-09-2021,GAIL,-0.009722174
17-09-2025 00:00,182.389999,180.11,185.62,SLTP,14-07-2025,GAIL,0.01770931
17-03-2022 08:00,748.25,810.5,857.2,SL,17-05-2021,GODREJCP,0.076804442
19-04-2022 00:00,1106.699951,1168.1,1215,SL,14-03-2022,HCLTECH,0.052564035
04-03-2025 08:00,1710,1672.26,1774.1,SL,03-03-2025,HDFCBANK,-0.022568261
02-01-2023 08:00,570.299987,561.25,612.6,SLTP,02-01-2023,HDFCLIFE,0.074171513
04-06-2025 08:00,1500,1499.5,1633,SLTP,15-04-2025,HAVELLS,0.088666667
22-12-2020 00:00,2974.149902,2900.6,3318,TP,21-12-2020,HEROMOTOCO,0.115612901
01-02-2023 08:00,2574.25,2530.2,2645.55,TP,30-01-2023,HINDUNILVR,0.027697388
14-08-2023 04:00,383.600006,376.9,436.45,TP,14-08-2023,INDHOTEL,0.137773705
23-12-2020 08:00,88.150001,85.155,90.45,SL,17-08-2020,IOC,-0.03517117
09-05-2025 04:00,115.800003,125,129.6,SLTP,15-04-2025,IRFC,0.119170955
01-04-2021 04:00,1610,1620.05,1730,SLTP,01-03-2021,INDIGO,0.074534161
22-10-2024 08:00,915.5,985.2,1028.3,TP,24-06-2024,LICI,0.12321136
20-06-2022 04:00,1005,985.3,1140,TP,20-06-2022,LODHA,0.134328358
23-12-2022 04:00,1221.650024,1208,1337,TP,19-12-2022,M&M,0.094421458
02-12-2020 04:00,7165.399902,6975.2,7882.65,SL,01-12-2020,MARUTI,-0.027268021
20-01-2022 00:00,19078.40039,19535,19969,SL,03-01-2022,NESTLEIND,0.023373412
15-06-2022 04:00,16810,16435,18550,TP,13-06-2022,NESTLEIND,0.103509816
08-10-2024 04:00,2574.199951,2659.06,2740,SL,23-09-2024,NESTLEIND,0.031913552
01-08-2025 00:00,407,409.75,438.35,SL,07-07-2025,PFC,0.006711409
30-01-2023 04:00,1227,1271.15,1330,SL,09-01-2023,SBILIFE,0.034732329
26-12-2022 08:00,23748,23055.4,24773,TP,26-12-2022,SHREECEM,0.043161529
14-08-2023 04:00,23823.69922,23451,26049.2,TP,14-08-2023,SHREECEM,0.093415416
06-03-2025 04:00,643.400024,680.55,783.7,SL,24-08-2020,SHRIRAMFIN,0.054588165
20-12-2022 04:00,1369.5,1273.3,1558.8,TP,27-09-2021,SHRIRAMFIN,0.13822563
09-05-2025 04:00,602,649.15,630.8,SLTP,15-04-2025,SHRIRAMFIN,0.047840532
08-11-2021 00:00,790.450012,817.8,850,SL,11-10-2021,SUNPHARMA,0.03344337
30-09-2022 00:00,396,402.3,441.75,SL,27-06-2022,TATAMOTORS,0.015659955
12-12-2022 08:00,1032.099975,1063.2,1116.3,SL,28-11-2022,TECHM,0.02925134
07-06-2023 04:00,1090.25,1060.1,1132.5,TP,05-06-2023,TECHM,0.03875258
27-06-2022 08:00,1049.099975,1030,1222.8,SL,27-06-2022,TRENT,-0.018543665
17-10-2022 04:00,1369.900024,1373.85,1447.7,TP,10-10-2022,TRENT,0.056792448
17-01-2023 04:00,7344.950195,7167.6,7548.95,SL,31-01-2022,ULTRACEMCO,-0.024743316
04-09-2024 00:00,1497.050048,1417.95,1589.3,TP,19-08-2024,VBL,0.061621154
12-05-2025 00:00,510.799987,507.1,540.45,TP,28-04-2025,VBL,0.058046229
13-11-2024 08:00,435,452,473.2,SL,26-08-2024,VEDL,0.037610619
