setup_type,time,entry_price,stop_loss,take_profit,outcome_6,initiation_date,returns,ticker
SHORT,21-03-2022 08:00,2091.449951,2239,1982,TP,28-02-2022,0.055221973,ABB
LONG,01-04-2021 08:00,999.200012,974.2200117,1150.1,SL,06-05-2024,-0.025,ADANIENSOL
SHORT,22-08-2023 04:00,959.599975,983.5899744,825,TP,22-05-2023,0.163151485,ADANIENSOL
SHORT,23-05-2024 00:00,3165.050048,3244.176299,3025,TP,22-04-2024,0.046297537,ADANIENT
SHORT,30-10-2024 08:00,2969.300048,3211,2672.1,TP,07-10-2024,0.1112234,ADANIENT
LONG,12-01-2021 00:00,940.849975,917.3287256,1020,TP,03-07-2023,0.084126085,ADANIGREEN
SHORT,30-11-2023 04:00,1015.200012,1040.580012,935.65,TP,18-09-2023,0.085021121,ADANIGREEN
SHORT,04-08-2025 04:00,988.849975,1054.9,903.5,SL,14-07-2025,-0.062612594,ADANIGREEN
LONG,03-12-2020 04:00,49.75,48.50625,59.1,SL,25-01-2021,-0.025,ADANIPOWER
LONG,24-03-2021 08:00,105,102.050003,137.7,SL,24-01-2022,-0.02809521,ADANIPOWER
LONG,16-09-2022 00:00,532.950012,519.6262617,596.85,SL,16-06-2025,-0.025,AMBUJACEM
SHORT,28-02-2022 04:00,4750,4868.75,4358.05,TP,31-01-2022,0.089937013,APOLLOHOSP
SHORT,25-07-2022 04:00,4153.100097,4903.65,3530,TP,18-04-2022,0.176515608,APOLLOHOSP
LONG,27-10-2020 08:00,2176.199951,2121.794952,2358,SL,04-05-2020,-0.025,DMART
LONG,13-10-2021 04:00,5214,4880,5155.55,SL,19-08-2024,-0.064058305,DMART
LONG,01-09-2021 00:00,3975.649902,3876.258654,4495.5,SL,09-06-2025,-0.025,DMART
SHORT,11-07-2022 00:00,3970.300048,4244,3906,TP,04-04-2022,0.016461866,DMART
LONG,12-01-2021 00:00,3572.100097,3482.797595,3919,SL,27-06-2022,-0.025,BAJAJ-AUTO
LONG,02-09-2024 04:00,10679.2998,10245.09961,11524,SL,16-12-2024,-0.040658115,BAJAJHLDNG
LONG,11-12-2024 00:00,11111.15039,10833.37163,12899.95,SL,10-03-2025,-0.025,BAJAJHLDNG
SHORT,10-03-2022 00:00,5002,5380,4752.05,TP,14-02-2022,0.052598352,BAJAJHLDNG
LONG,01-02-2024 08:00,255.949996,249.5512461,273.4,SL,06-05-2024,-0.025,BANKBARODA
SHORT,27-06-2022 04:00,100.599998,105.45,89.85,TP,06-06-2022,0.119643829,BANKBARODA
SHORT,10-02-2023 04:00,170.75,187.7,156.1,TP,09-01-2023,0.093850096,BANKBARODA
LONG,14-10-2020 04:00,330.200012,321.9450117,402.06,CoC Exit,18-05-2020,0.06859477,BPCL
LONG,30-10-2020 04:00,354.299987,345.4424873,430,SL,21-12-2020,-0.025,BPCL
LONG,05-02-2024 04:00,585.599975,564.299987,635.2,SL,15-04-2024,-0.036372932,BPCL
SHORT,11-11-2020 08:00,393.950012,436,347.5,TP,07-09-2020,0.133669099,BPCL
LONG,08-09-2023 04:00,455.600006,444.2100059,549.95,SL,04-03-2024,-0.025,CGPOWER
SHORT,23-01-2024 04:00,456.700012,488,414.3,TP,01-01-2024,0.102341328,CGPOWER
LONG,14-10-2020 04:00,88.150001,84.849998,95.3,TP,26-10-2020,0.081111729,CANBK
LONG,25-10-2022 04:00,284.799987,273.799987,292.2,SL,20-03-2023,-0.038623597,CANBK
SHORT,17-09-2025 00:00,1587.400024,1627.085025,1489.6,TP,14-07-2025,0.065655226,CHOLAFIN
LONG,03-02-2021 04:00,856.799987,835.3799873,977.35,SL,17-01-2022,-0.025,CIPLA
SHORT,31-01-2025 04:00,1482.650024,1547.85,1408,TP,30-12-2024,0.053018483,CIPLA
LONG,19-11-2020 00:00,508.700012,495.9825117,529,TP,16-12-2024,0.039905617,DABUR
SHORT,19-08-2022 04:00,591.150024,611.9,574.3,TP,15-11-2021,0.029340108,DABUR
LONG,30-04-2021 08:00,4043.399902,3942.314904,4519.9,SL,28-02-2022,-0.025,DIVISLAB
LONG,18-03-2021 08:00,4230,4124.25,4467.5,TP,13-06-2022,0.056146572,DRREDDY
SHORT,22-12-2021 08:00,4644.649902,4820,4441.3,SL,22-11-2021,-0.036379688,DRREDDY
SHORT,18-01-2023 04:00,4355.299804,4527.6,4201,SL,12-12-2022,-0.038055525,DRREDDY
LONG,09-05-2024 00:00,4678.299804,4561.342309,5350,SL,16-12-2024,-0.025,EICHERMOT
SHORT,18-05-2021 08:00,2568.449951,2653.7,2378,TP,30-03-2021,0.080088289,EICHERMOT
LONG,14-01-2021 04:00,143.649993,140.0587432,159.75,SL,06-09-2021,-0.025,GAIL
LONG,12-10-2020 08:00,708.25,690.54375,857.2,SL,26-04-2021,-0.025,GODREJCP
LONG,14-10-2021 08:00,1689.900024,1647.652523,1774.1,SL,03-03-2025,-0.025,HDFCBANK
SHORT,13-12-2023 00:00,694.099975,711.4524744,680.25,TP,29-11-2021,0.020360125,HDFCLIFE
SHORT,22-07-2025 08:00,1578.599975,1618.064974,1513,TP,30-06-2025,0.043357551,HAVELLS
LONG,26-10-2020 04:00,2880.600097,2808.585095,3318,CoC Exit,21-12-2020,0.078247551,HEROMOTOCO
SHORT,17-01-2022 00:00,2714,2781.85,2411.65,SL,06-12-2021,-0.024390244,HEROMOTOCO
LONG,26-04-2024 04:00,650.75,634.48125,700.05,SL,09-06-2025,-0.025,HINDALCO
LONG,17-08-2021 04:00,1063.25,1036.66875,1134.5,SL,12-07-2021,-0.025,HAL
LONG,09-04-2021 04:00,2475,2413.125,2533.5,SL,23-10-2023,-0.025,HINDUNILVR
SHORT,12-05-2023 08:00,2622,2687.55,2555.35,TP,30-01-2023,0.026082533,HINDUNILVR
SHORT,04-12-2023 00:00,971.200012,997.5,925,TP,11-09-2023,0.049945959,ICICIBANK
LONG,12-10-2020 08:00,1210,1179.75,1369,TP,01-08-2022,0.131404959,ICICIGI
LONG,27-02-2024 08:00,1726.75,1683.58125,1895,SL,07-04-2025,-0.025,ICICIGI
SHORT,05-05-2021 00:00,1455.199951,1491.57995,1401.1,TP,30-03-2021,0.038612484,ICICIGI
SHORT,21-11-2023 04:00,1464.949951,1501.5737,1404.95,SL,29-11-2021,-0.024390244,ICICIGI
SHORT,13-10-2023 04:00,1316.949951,1385,1266,SL,11-09-2023,-0.049133609,ICICIGI
SHORT,07-07-2022 04:00,518.049987,567.95,474.55,TP,06-06-2022,0.091665761,ICICIPRULI
LONG,24-02-2022 08:00,194.300003,189.4425029,214,SL,17-01-2022,-0.025,INDHOTEL
LONG,05-09-2022 00:00,300,292.5,324.2,SL,20-02-2023,-0.025,INDHOTEL
LONG,25-05-2023 00:00,387.200012,377.5200117,436.45,SL,14-08-2023,-0.025,INDHOTEL
LONG,08-11-2024 08:00,732.900024,714.5775234,795.65,SL,04-08-2025,-0.025,INDHOTEL
SHORT,12-01-2022 08:00,208.699996,213.9174959,186.3,TP,06-12-2021,0.120236157,INDHOTEL
SHORT,07-11-2023 00:00,401.799987,424.75,371.6,TP,03-10-2023,0.081270148,INDHOTEL
SHORT,17-07-2025 04:00,754,786.9,724.75,TP,23-06-2025,0.040358744,INDHOTEL
SHORT,04-12-2020 04:00,90,92.25,85.155,TP,17-08-2020,0.056896248,IOC
LONG,03-02-2021 00:00,1058.5,995.5,1186.5,SL,06-09-2021,-0.059518186,INDUSINDBK
SHORT,11-05-2023 04:00,1191.599975,1238.2,1106,TP,09-01-2023,0.077395999,INDUSINDBK
LONG,14-10-2020 00:00,3632,3541.2,3990,TP,27-06-2022,0.098568282,NAUKRI
SHORT,11-07-2022 04:00,1695.449951,1838.5,1511.75,TP,06-06-2022,0.121514768,INDIGO
SHORT,18-03-2024 08:00,804.400024,839.7,761.75,TP,26-02-2024,0.055989529,JSWSTEEL
LONG,12-10-2020 08:00,1312.699951,1267,1367.4,TP,13-07-2020,0.04166988,KOTAKBANK
SHORT,14-09-2021 08:00,1864.949951,1999.35,1742.6,TP,08-03-2021,0.070211151,KOTAKBANK
SHORT,13-12-2022 00:00,4334,4442.35,3570,SL,01-02-2021,-0.024390244,LTIM
SHORT,02-05-2023 04:00,4556.75,4848,4148.2,SL,03-04-2023,-0.06007632,LTIM
LONG,29-01-2024 04:00,919.599975,896.6099756,1028.3,SL,24-06-2024,-0.025,LICI
LONG,25-10-2021 00:00,992.599975,967.7849756,1140,TP,20-06-2022,0.148498921,LODHA
LONG,10-05-2022 08:00,888,865.8,1017.5,TP,02-05-2023,0.145833333,LODHA
LONG,20-10-2021 00:00,1101.25,1068.599975,1233.95,TP,12-02-2024,0.120499432,LODHA
SHORT,19-01-2023 08:00,1109.25,1136.98125,1082.06,SL,05-09-2022,-0.024390244,LODHA
LONG,02-08-2022 00:00,1238.300048,1207.342547,1337,SL,19-12-2022,-0.025,M&M
SHORT,18-05-2021 08:00,797.049987,837.85,731.1,TP,12-04-2021,0.09020652,M&M
LONG,19-10-2020 08:00,6851.950195,6680.65144,7882.65,TP,09-11-2020,0.150424299,MARUTI
LONG,27-10-2020 04:00,17239.59961,16701,18550,TP,13-06-2022,0.076011069,NESTLEIND
LONG,15-01-2024 08:00,233.5,227.6625,247.13,SL,26-05-2025,-0.025,ONGC
LONG,18-12-2020 04:00,1725.300048,1682.167547,1761.4,SL,22-02-2021,-0.025,PIDILITIND
SHORT,12-10-2020 04:00,1478.550048,1532.95,1373.6,SL,01-06-2020,-0.035487101,PIDILITIND
LONG,08-12-2023 00:00,385.350006,375.7162559,458.85,SL,06-05-2024,-0.025,PFC
LONG,15-10-2020 00:00,156.050003,152.1487529,175.7156,TP,18-05-2020,0.126021125,POWERGRID
SHORT,19-12-2022 04:00,218.350006,224.9467,210.4533,TP,28-11-2022,0.037522367,POWERGRID
SHORT,30-08-2021 04:00,150.399993,160.5067,139.2533,TP,02-08-2021,0.080046168,RECLTD
SHORT,22-06-2022 00:00,2534.300048,2597.657549,2219.72,TP,30-05-2022,0.141720599,RELIANCE
LONG,04-02-2021 08:00,27085,26407.875,28555,SL,28-06-2021,-0.025,SHREECEM
LONG,13-11-2020 00:00,23360.19922,22776.19424,24773,CoC Exit,26-12-2022,0.024790095,SHREECEM
LONG,23-11-2020 00:00,24450,23838.75,26049.2,SL,14-08-2023,-0.025,SHREECEM
SHORT,18-01-2022 00:00,27248.69922,29818.9,25198.25,TP,08-11-2021,0.081372683,SHREECEM
LONG,19-03-2025 08:00,667.950012,651.2512617,783.7,TP,03-08-2020,0.173291393,SHRIRAMFIN
LONG,23-12-2022 04:00,1296.849975,1264.428726,1514.4,CoC Exit,03-05-2021,-0.008944732,SHRIRAMFIN
LONG,21-12-2022 04:00,1388.199951,1353.494952,1558.8,SL,27-09-2021,-0.025,SHRIRAMFIN
SHORT,04-11-2020 04:00,513.400024,529.3,452.25,CoC Exit,05-10-2020,0.012223998,SUNPHARMA
LONG,11-10-2021 00:00,414.399993,391.100006,441.75,SL,27-06-2022,-0.056225838,TATAMOTORS
LONG,28-02-2024 00:00,971.299987,947.0174873,1029.8,SL,15-07-2024,-0.025,TATAMOTORS
SHORT,18-08-2025 00:00,678.400024,706.5,627.1,TP,21-07-2025,0.081805173,TATAMOTORS
LONG,08-01-2021 08:00,1049,1022.775,1116.3,SL,07-11-2022,-0.025,TECHM
LONG,12-01-2021 00:00,1064.699951,1038.082452,1132.5,SL,05-06-2023,-0.025,TECHM
LONG,18-09-2023 00:00,3287,3204.825,3447.65,SL,13-01-2025,-0.025,TITAN
SHORT,23-05-2022 04:00,2665,2837.26,2484.14,SL,25-04-2022,-0.060713505,TORNTPHARM
LONG,08-09-2021 00:00,1048.050048,1021.848797,1222.8,SL,27-06-2022,-0.025,TRENT
LONG,12-08-2022 08:00,1382.75,1348.18125,1447.7,SL,10-10-2022,-0.025,TRENT
SHORT,20-04-2023 04:00,1392.400024,1427.210025,1281.5,TP,26-12-2022,0.086539231,TRENT
SHORT,31-03-2023 04:00,7639,7829.975,7294.1,TP,31-01-2022,0.047284792,ULTRACEMCO
LONG,04-10-2024 04:00,579.700012,565.2075117,645,TP,11-11-2024,0.112644448,VBL
SHORT,09-09-2024 04:00,1515.050048,1609.45,635.25,CoC Exit,19-08-2024,0.553977157,VBL
LONG,07-05-2021 04:00,285.100006,277.9725059,342.45,SL,27-09-2021,-0.025,VEDL
LONG,10-05-2021 08:00,525.650024,512.5087734,578.76,SL,07-10-2024,-0.025,WIPRO
LONG,07-03-2022 04:00,340.399993,331.8899932,401.75,CoC Exit,25-07-2022,0.032314924,ZYDUSLIFE
